what's the shortest connection between quiddestraße and odeonsplatz?	FindConnection
what is the cheapest connection between quiddestraße and hauptbahnhof?	FindConnection
what's the shortest way between hauptbahnhof and odeonsplatz?	FindConnection
how can i get from garching to münchner freiheit as fast as possible?	FindConnection
what's the cheapest way from neuperlach süd to lehel?	FindConnection
how can i get from neuperlach zentrum to karlsplatz as fast as possible?	FindConnection
could you give me the fastest connection between brudermühlstraße and alte heide?	FindConnection
is there a train from neuperlach zentrum to garching at 3 pm?	FindConnection
can you find a connection from olympiazentrum to lehel at 2 pm?	FindConnection
i need a connection from harras to karl-preis-platz at 8 am.	FindConnection
in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?	FindConnection
i need to be in garching at 9	FindConnection
can i take a bus from quiddestraße to hauptbahnhof?	FindConnection
can you find the shortest way from moosfeld to milbertshofen?	FindConnection
how can i get to neuperlach süd from garching forschungszentrum?	FindConnection
can you find a bus from quiddestraße to lehel?	FindConnection
is there a tram from karlsplatz to lehel?	FindConnection
is there a bus from garching to moosach at around 5?	FindConnection
is there a bus from odeonsplatz to hauptbahnhof at 3 pm?	FindConnection
can you tell me the cheapest way from garching forschungszentrum to quiddestraße?	FindConnection
how can i get to quiddestraße?	FindConnection
when does the next bus leaves from hauptbahnhof?	DepartureTime
how can i get from garching to hauptbahnhof?	FindConnection
how can i get from kurt-eisner-straße to garching?	FindConnection
when the next train in garching,forschungszentrum is leaving?	DepartureTime
what is the next connection from garching forschungszentrum to odeonsplatz?	FindConnection
how can i get from mossach to garching forschungszentrum?	FindConnection
how can i get from garching forschungszentrum to odeonsplatz?	FindConnection
how can i get from garching, forschungszentrum to odeonsplatz?	FindConnection
how can i get from garching forschungszentrum to kurt-eisner-straße?	FindConnection
how can i get to boltzmannstraße from quiddestraße?	FindConnection
when does the next train departs from quiddestraße?	DepartureTime
when the next train in garching forschungszentrum is leaving?	DepartureTime
when is the next u6 leaving from garching?	DepartureTime
when does the next train leave from garching forschungszentrum	DepartureTime
when is the next u6?	DepartureTime
when is the next subway leaving from garching?	DepartureTime
when the next train in garching is leaving?	DepartureTime
when is the next train leaving in garching	DepartureTime
when does the next train leaves from odeonsplatz?	DepartureTime
when does the next train leaves from quiddestraße?	DepartureTime
when is the next train	DepartureTime
when does the next bus leaves at garching forschungszentrum?	DepartureTime
when does the next train leaves?	DepartureTime
when does the next bus leave in garching?	DepartureTime
when does the next s-bahn leaves from hauptbahnhof?	DepartureTime
when does the next subway departes from odeonsplatz?	DepartureTime
show me the next bus from garching!	DepartureTime
when does the next tram starts from hauptbahnhof?	DepartureTime
when will the next u-bahn depart from garching forschungszentrum?	DepartureTime
show me the next bus from michaelibad.	DepartureTime
when does the next train starts at sendlinger tor?	DepartureTime
hey bot, when does the next bus starts at garching?	DepartureTime
when does the next bus leaves at garching?	DepartureTime
when is the bus from quiddestraße?	DepartureTime
when can i get a bus at mariahilfplatz?	DepartureTime
when does the next bus leaves at romanplatz?	DepartureTime
when does the bus to röblingweg starts?	DepartureTime
next bus from quiddestraße?	DepartureTime
when is the next bus leaving from garching?	DepartureTime
when is the train leaving in garching	DepartureTime
when is the train leaving in garching?	DepartureTime
how can i get from garching to odeonsplatz?	FindConnection
when is adrians next subway leaving at garching forschungszentrum?	DepartureTime
how can i get from olympiazentrum to hauptbahnhof?	FindConnection
how can i get from quiddestraße to boltzmannstraße?	FindConnection
how can i get from moosach to garching forschungszentrum?	FindConnection
can you give me a connection from garching to odeonsplatz?	FindConnection
when is the next train from garching	DepartureTime
when comes the next train	DepartureTime
when is the next train in nordfriedhof	DepartureTime
when does the next train come at garching forschungszentrum	DepartureTime
when is the next train from nordfriedhof to garching forschungszentrum	FindConnection
i want to travel from garching to odeonsplatz?	FindConnection
how can i get to sendlinger tor?	FindConnection
how do i get to untere straussäcker?	FindConnection
how can i get from garching to garching?	FindConnection
how can i get from garching to sendlinger tor?	FindConnection
how can i get from garchingto garching?	FindConnection
when is the next train from garching	DepartureTime
how do i get from marienplatz zu garching	FindConnection
how can i get to milbertshofen from garching?	FindConnection
when is the next train to garching	FindConnection
how can i get from garching to milbertshofen?	FindConnection
when does the next rocket leaves from garching forschungszentrum?	DepartureTime
connection from untere straßäcker 21 to kieferngarten	FindConnection
how to get from untere strassäcker 21 to frötmaning	FindConnection
how to get from untere strassaecker 21 to frötmaning	FindConnection
when is the next train from untere straßaecker 21 to kieferngarten	FindConnection
when is the next train from untere straßaecker 21, garching to kieferngarten	FindConnection
from garching to perlach	FindConnection
how to get from garching to perlach?	FindConnection
how to get from bonnerplatz to freimann	FindConnection
when is the next train in nordfriedhof?	DepartureTime
when is the next train in münchner freiheit?	DepartureTime
connection from hauptbahnhof to odeonsplatz?	FindConnection
how do i get from olympia einkaufszentrum to hauptbahnhof?	FindConnection
when is the next bus in garching forschungszentrum	DepartureTime
how can i get from garching to marienplatz	FindConnection
from garching to studentenstadt	FindConnection